sample_id	logFC	logCPM	PValue	FDR	June21_day	July05_day	July07_day	July19_day	June22_night	July06_night	July08_night	July20_night
TRINITY_DN487028_c0_g2_i1	13.80109248	5.355188742	7.51E-10	0.000564137	14.877	47.146	9.124	7.808	0	0	0	0
TRINITY_DN94770_c0_g2_i1	13.29722975	4.852640081	2.37E-09	0.000564137	10.778	45.322	10.946	5.931	0	0	0	0
TRINITY_DN507049_c0_g1_i4	13.1904151	4.746169012	2.87E-09	0.000564137	4.575	22.25	5.555	3.056	0	0	0	0
TRINITY_DN518930_c0_g1_i5	13.16074399	4.716596771	3.35E-09	0.000564137	6.779	31.801	8.186	3.908	0	0	0	0
TRINITY_DN475406_c0_g1_i3	12.91894181	4.475687443	3.36E-09	0.000564137	12.507	52.949	15.298	8.687	0	0	0	0
TRINITY_DN526096_c0_g1_i1	12.96873037	4.525278822	4.19E-09	0.000564137	5.206	22.23	4.981	3.274	0	0	0	0
TRINITY_DN429731_c0_g1_i1	13.3167581	4.872110443	5.52E-09	0.000564137	7.3	44.099	8.706	3.664	0	0	0	0
TRINITY_DN452117_c2_g1_i1	12.72124107	4.278833376	5.71E-09	0.000564137	9.637	33.164	5.172	7.59	0	0	0	0
TRINITY_DN434117_c0_g4_i1	12.61037971	4.168502935	5.83E-09	0.000564137	7.123	27.492	5.837	5.813	0	0	0	0
TRINITY_DN518930_c0_g1_i1	12.73980915	4.297315964	7.99E-09	0.000644628	6.27	24.365	3.479	4.289	0	0	0	0
TRINITY_DN256033_c0_g2_i1	12.64472834	4.202675332	8.14E-09	0.000644628	19.995	55.855	11.365	8.288	0	0	0	0
TRINITY_DN325083_c0_g1_i1	12.64662869	4.204572494	9.01E-09	0.000654487	5.771	24.365	5.4	3.228	0	0	0	0
TRINITY_DN593895_c0_g1_i1	12.85868786	4.415678814	1.04E-08	0.000691317	7.998	41.252	10.818	3.346	0	0	0	0
TRINITY_DN495126_c0_g1_i1	10.57131725	5.907148271	1.11E-08	0.000691317	12.795	64.034	10.909	7.445	0.01	0.024	0.03	0
TRINITY_DN515020_c0_g3_i1	12.82654041	4.383658464	1.27E-08	0.000695554	7.499	26.449	5.081	2.104	0	0	0	0
TRINITY_DN443054_c0_g1_i1	11.68899323	4.980149717	1.28E-08	0.000695554	10.756	50.664	10.235	5.133	0	0.024	0	0
TRINITY_DN521909_c8_g1_i1	12.31268447	3.872445539	1.63E-08	0.000708484	3.899	17.96	4.444	2.403	0	0	0	0
TRINITY_DN534773_c1_g1_i1	10.42447645	5.044588384	1.67E-08	0.000708484	7.588	35.67	10.017	3.655	0.01	0.012	0.02	0
TRINITY_DN8795_c0_g3_i1	12.2445356	3.804725075	1.72E-08	0.000708484	21.634	115.048	49.72	14.065	0	0	0	0
TRINITY_DN219929_c0_g1_i1	12.34721495	3.906762711	1.75E-08	0.000708484	5.616	20.596	5.436	2.24	0	0	0	0
TRINITY_DN301569_c0_g2_i1	12.35672486	3.916232213	1.81E-08	0.000708484	3.966	34.557	10.071	5.223	0	0	0	0
TRINITY_DN518612_c1_g2_i2	12.70872903	4.26638516	1.91E-08	0.000708484	1.473	10.193	1.32	1.134	0	0	0	0
TRINITY_DN536086_c1_g1_i5	13.23396879	4.789576538	1.98E-08	0.000708484	2.581	14.803	2.395	0.544	0	0	0	0
TRINITY_DN476259_c0_g2_i1	12.15642892	3.717195553	2.02E-08	0.000708484	4.187	20.115	5.664	2.802	0	0	0	0
TRINITY_DN525260_c0_g1_i6	12.02973955	3.591406952	2.15E-08	0.000708484	1.872	9.932	2.213	2.004	0	0	0	0
TRINITY_DN491968_c0_g2_i2	11.9896352	3.551597423	2.19E-08	0.000708484	2.78	10.554	3.879	1.533	0	0	0	0
TRINITY_DN24135_c0_g1_i1	12.52808029	4.086623819	2.19E-08	0.000708484	3.888	22.33	4.508	1.95	0	0	0	0
TRINITY_DN508428_c1_g1_i1	12.28351497	3.843450171	2.55E-08	0.000773535	2.437	9.862	1.43	1.324	0	0	0	0
TRINITY_DN537799_c2_g1_i1	12.10270407	3.663834623	2.63E-08	0.000773535	5.494	20.245	5.045	2.421	0	0	0	0
TRINITY_DN464722_c0_g3_i1	12.47673694	4.035547322	2.70E-08	0.000773535	5.76	24.575	7.121	1.505	0	0	0	0
TRINITY_DN528964_c1_g1_i1	12.25839205	3.818489965	2.82E-08	0.000773535	3.822	20.015	5.081	1.886	0	0	0	0
TRINITY_DN301569_c0_g1_i1	11.87739585	3.440248349	2.90E-08	0.000773535	4.719	21.729	7.922	3.183	0	0	0	0
TRINITY_DN535868_c1_g1_i1	10.08047711	5.107871587	3.01E-08	0.000773535	6.259	24.986	4.763	3.083	0.01	0.012	0.02	0
TRINITY_DN273360_c0_g3_i1	12.38457334	3.943896124	3.02E-08	0.000773535	6.791	24.455	6.884	1.542	0	0	0	0
TRINITY_DN431733_c0_g2_i3	12.33221219	3.891852736	3.38E-08	0.00082474	4.143	21.248	4.48	1.632	0	0	0	0
TRINITY_DN532363_c7_g2_i2	12.14264792	3.703511632	3.42E-08	0.00082474	4.531	27.261	4.353	3.754	0	0	0	0
TRINITY_DN325083_c0_g2_i1	9.491946846	5.999353185	3.50E-08	0.00082474	21.59	89.24	16.118	9.957	0.042	0.095	0.06	0.009
