go	ontology	name	genes_day	transcripts_day	proteins_day	total_day	total_day_CPM	genes_night	transcripts_night	proteins_night	total_night	total_night_CPM
GO:0005737	cellular_component	cytoplasm	36804	45464	28896	45464	50890	28202	33116	19744	33116	50733
GO:0005524	molecular_function	ATP binding	30763	39142	24635	39142	43814	23496	27903	16603	27903	42747
GO:0005634	cellular_component	nucleus	27985	34141	22429	34141	38216	21800	25000	15526	25000	38299
GO:0005829	cellular_component	cytosol	25757	30897	19585	30897	34585	19984	22903	13915	22903	35087
GO:0046872	molecular_function	metal ion binding	20363	25828	16198	25828	28911	15144	18082	10811	18082	27701
GO:0016021	cellular_component	integral component of membrane	21355	26520	17962	26520	29685	14972	17365	11219	17365	26603
GO:0005886	cellular_component	plasma membrane	16911	20661	14024	20661	23127	12440	14405	9283	14405	22068
GO:0003735	molecular_function	structural constituent of ribosome	11513	14385	6517	14385	16102	10464	13257	5624	13257	20309
GO:0006412	biological_process	translation	9083	11350	5246	11350	12705	8107	10330	4421	10330	15825
GO:0005739	cellular_component	mitochondrion	10240	12430	7684	12430	13914	8079	9356	5545	9356	14333
GO:0003723	molecular_function	RNA binding	9108	11261	7144	11261	12605	7180	8497	5127	8497	13017
GO:0016020	cellular_component	membrane	9662	11432	7635	11432	12796	7028	8043	5156	8043	12322
GO:0005576	cellular_component	extracellular region	5935	7588	5390	7588	8494	4641	5533	3795	5533	8476
GO:0005730	cellular_component	nucleolus	5477	6486	3879	6486	7260	4623	5280	3022	5280	8089
GO:0005783	cellular_component	endoplasmic reticulum	6226	7544	5276	7544	8444	4488	5144	3369	5144	7880
GO:0005654	cellular_component	nucleoplasm	6012	6999	4859	6999	7834	4666	5068	3413	5068	7764
GO:0005525	molecular_function	GTP binding	4752	6123	3342	6123	6854	3982	5048	2391	5048	7733
GO:0022625	cellular_component	cytosolic large ribosomal subunit	4290	5358	2597	5358	5997	3979	5015	2291	5015	7683
GO:0005840	cellular_component	ribosome	4529	5499	2494	5499	6155	4030	4918	2027	4918	7534
GO:0005794	cellular_component	Golgi apparatus	5814	7046	4857	7046	7887	4268	4882	3275	4882	7479
GO:0005509	molecular_function	calcium ion binding	5151	6400	4616	6400	7164	3825	4477	3039	4477	6859
GO:0008270	molecular_function	zinc ion binding	5295	6428	4044	6428	7195	3895	4469	2706	4469	6846
GO:0005874	cellular_component	microtubule	4126	5278	2971	5278	5908	3594	4260	2191	4260	6526
GO:0009507	cellular_component	chloroplast	6324	7564	4371	7564	8467	3562	4180	2318	4180	6404
GO:0016887	molecular_function	ATPase activity	4655	5742	3637	5742	6427	3521	4059	2453	4059	6218
GO:0004674	molecular_function	protein serine/threonine kinase activity	5166	6255	4232	6255	7002	3633	4043	2580	4043	6194
GO:0003677	molecular_function	DNA binding	4355	5355	3303	5355	5994	3464	4022	2343	4022	6162
