	go	ontology	name	genes	transcripts	proteins	total	total_CPM
1	GO:0018298	biological_process	protein-chromophore linkage	1278	1751	907	1751	6402
2	GO:0042742	biological_process	defense response to bacteria	1045	1212	742	1212	4431
3	GO:0043066	biological_process	negative regulation of apoptotic process	1038	1160	798	1160	4241
4	GO:0004252	molecular_function	serine-type endopeptidase activity	1019	1323	875	1323	4837
5	GO:0005871	cellular_component	kinesin complex	1011	1218	759	1218	4453
6	GO:0019904	molecular_function	protein domain specific binding	980	1144	716	1144	4183
7	GO:0015979	biological_process	photosynthesis	978	1179	658	1179	4311
8	GO:0009931	molecular_function	calcium-dependent protein serine/threonine kinase activity	977	1189	887	1189	4347
9	GO:0031072	molecular_function	heat shock protein binding	975	1179	700	1179	4311
10	GO:0000278	biological_process	mitotic cell cycle	975	1112	665	1112	4066
11	GO:0004222	molecular_function	metalloendopeptidase activity	973	1128	710	1128	4124
12	GO:0031965	cellular_component	nuclear membrane	970	1170	851	1170	4278
13	GO:0009409	biological_process	response to cold	951	1111	671	1111	4062
14	GO:0004722	molecular_function	protein serine/threonine phosphatase activity	948	1224	821	1224	4475
15	GO:0004364	molecular_function	glutathione transferase activity	333	460	322	460	1682
16	GO:0030426	cellular_component	growth cone	332	387	272	387	1415
17	GO:0032880	biological_process	regulation of protein localization	332	378	239	378	1382
18	GO:0009768	biological_process	photosynthesis, light harvesting in photosystem I	331	396	179	396	1448
19	GO:0042593	biological_process	glucose homeostasis	330	398	277	398	1455
20	GO:0000470	biological_process	maturation of LSU-rRNA	330	419	207	419	1532
21	GO:0016363	cellular_component	nuclear matrix	330	393	266	393	1437
22	GO:0030992	cellular_component	intraciliary transport particle B	328	409	285	409	1495
23	GO:0030139	cellular_component	endocytic vesicle	324	362	219	362	1324
24	GO:0045332	biological_process	phospholipid translocation	323	372	237	372	1360
25	GO:0008201	molecular_function	heparin binding	322	400	312	400	1463
26	GO:0030976	molecular_function	thiamine pyrophosphate binding	321	507	288	507	1854
27	GO:0009060	biological_process	aerobic respiration	313	369	201	369	1349
28	GO:0005858	cellular_component	axonemal dynein complex	313	365	215	365	1335
29	GO:0000902	biological_process	cell morphogenesis	313	354	211	354	1294
30	GO:0032869	biological_process	cellular response to insulin stimulus	312	340	219	340	1243
31	GO:0006302	biological_process	double-strand break repair	310	357	256	357	1305
32	GO:0061512	biological_process	protein localization to cilium	309	400	266	400	1463
33	GO:0005201	molecular_function	extracellular matrix structural constituent	308	396	299	396	1448
34	GO:0016308	molecular_function	1-phosphatidylinositol-4-phosphate 5-kinase activity	307	451	362	451	1649
35	GO:0005911	cellular_component	cell-cell junction	306	333	242	333	1218
36	GO:0004550	molecular_function	nucleoside diphosphate kinase activity	304	357	214	357	1305
37	GO:0098609	biological_process	cell-cell adhesion	303	347	283	347	1269
38	GO:0007224	biological_process	smoothened signaling pathway	303	352	259	352	1287
39	GO:0004089	molecular_function	carbonate dehydratase activity	298	358	266	358	1309
40	GO:0004185	molecular_function	serine-type carboxypeptidase activity	298	379	236	379	1386
41	GO:0000045	biological_process	autophagosome assembly	297	373	265	373	1364
42	GO:0043021	molecular_function	ribonucleoprotein complex binding	297	332	217	332	1214
43	GO:0003351	biological_process	epithelial cilium movement involved in extracellular fluid movement	290	340	196	340	1243
44	GO:0006471	biological_process	protein ADP-ribosylation	284	376	309	376	1375
45	GO:0035082	biological_process	axoneme assembly	273	330	222	330	1207
46	GO:0009644	biological_process	response to high light intensity	272	314	183	314	1148
47	GO:0005868	cellular_component	cytoplasmic dynein complex	268	371	192	371	1356
48	GO:0014066	biological_process	regulation of phosphatidylinositol 3-kinase signaling	265	295	180	295	1079
49	GO:0032580	cellular_component	Golgi cisterna membrane	262	309	210	309	1130
50	GO:0007288	biological_process	sperm axoneme assembly	261	309	182	309	1130
51	GO:0006207	biological_process	de novo pyrimidine nucleobase biosynthetic process	256	359	224	359	1313
52	GO:0000175	molecular_function	3-5-exoribonuclease activity	252	291	192	291	1064
53	GO:0051480	biological_process	regulation of cytosolic calcium ion concentration	252	318	217	318	1163
54	GO:0051291	biological_process	protein heterooligomerization	250	293	231	293	1071
55	GO:0036312	molecular_function	phosphatidylinositol 3-kinase regulatory subunit binding	249	264	178	264	965
56	GO:0008092	molecular_function	cytoskeletal protein binding	245	273	212	273	998
57	GO:0072657	biological_process	protein localization to membrane	245	297	192	297	1086
58	GO:0002027	biological_process	regulation of heart rate	245	290	237	290	1060
59	GO:0005245	molecular_function	voltage-gated calcium channel activity	245	340	321	340	1243
60	GO:0031672	cellular_component	A band	244	278	202	278	1016
61	GO:0019894	molecular_function	kinesin binding	244	266	170	266	973
62	GO:0003727	molecular_function	single-stranded RNA binding	243	315	245	315	1152
63	GO:0005978	biological_process	glycogen biosynthetic process	242	330	221	330	1207
64	GO:0006378	biological_process	mRNA polyadenylation	241	276	193	276	1009
65	GO:0009654	cellular_component	photosystem II oxygen evolving complex	241	277	162	277	1013
66	GO:0005905	cellular_component	clathrin-coated pit	237	283	191	283	1035
67	GO:0006189	biological_process	de novo IMP biosynthetic process	236	333	208	333	1218
68	GO:0043171	biological_process	peptide catabolic process	236	296	207	296	1082
69	GO:0006402	biological_process	mRNA catabolic process	235	278	191	278	1016
70	GO:0001933	biological_process	negative regulation of protein phosphorylation	235	281	184	281	1027
71	GO:0000082	biological_process	G1/S transition of mitotic cell cycle	232	257	178	257	940
72	GO:0098685	cellular_component	Schaffer collateral - CA1 synapse	232	270	201	270	987
73	GO:0031369	molecular_function	translation initiation factor binding	232	256	170	256	936
74	GO:0034399	cellular_component	nuclear periphery	230	276	197	276	1009
75	GO:0120029	biological_process	proton export across plasma membrane	229	314	218	314	1148
76	GO:0006879	biological_process	cellular iron ion homeostasis	228	262	173	262	958
77	GO:0031418	molecular_function	L-ascorbic acid binding	228	264	198	264	965
78	GO:0030553	molecular_function	cGMP binding	227	301	230	301	1101
79	GO:0031463	cellular_component	Cul3-RING ubiquitin ligase complex	227	280	208	280	1024
80	GO:0005902	cellular_component	microvillus	227	258	164	258	943
81	GO:0008810	molecular_function	cellulase activity	226	318	242	318	1163
82	GO:0030148	biological_process	sphingolipid biosynthetic process	226	280	174	280	1024
83	GO:0005484	molecular_function	SNAP receptor activity	225	274	221	274	1002
84	GO:0071333	biological_process	cellular response to glucose stimulus	224	256	177	256	936
85	GO:0071320	biological_process	cellular response to cAMP	223	268	208	268	980
86	GO:0032922	biological_process	circadian regulation of gene expression	223	257	168	257	940
87	GO:0009860	biological_process	pollen tube growth	223	300	201	300	1097
88	GO:0042176	biological_process	regulation of protein catabolic process	223	261	176	261	954
89	GO:0000079	biological_process	regulation of cyclin-dependent protein serine/threonine kinase activity	222	272	193	272	995
90	GO:0008021	cellular_component	synaptic vesicle	222	252	192	252	921
91	GO:0003857	molecular_function	3-hydroxyacyl-CoA dehydrogenase activity	221	446	249	446	1631
92	GO:0045333	biological_process	cellular respiration	221	318	180	318	1163
93	GO:1990404	molecular_function	protein ADP-ribosylase activity	199	260	202	260	951
94	GO:0005876	cellular_component	spindle microtubule	199	223	152	223	815
95	GO:0015171	molecular_function	amino acid transmembrane transporter activity	198	245	200	245	896
96	GO:0042555	cellular_component	MCM complex	198	247	166	247	903
97	GO:0051302	biological_process	regulation of cell division	198	227	137	227	830
98	GO:0006446	biological_process	regulation of translational initiation	198	216	150	216	790
99	GO:0006526	biological_process	arginine biosynthetic process	197	251	160	251	918
100	GO:0005262	molecular_function	calcium channel activity	197	259	214	259	947
101	GO:0050830	biological_process	defense response to Gram-positive bacterium	197	259	187	259	947
102	GO:0009953	biological_process	dorsal/ventral pattern formation	197	248	168	248	907
103	GO:0030955	molecular_function	potassium ion binding	197	247	129	247	903
104	GO:0018279	biological_process	protein N-linked glycosylation via asparagine	197	216	127	216	790
105	GO:0031143	cellular_component	pseudopodium	197	211	112	211	771
