	go	ontology	name	genes	transcripts	proteins	total	total_CPM
1	GO:0051959	molecular_function	dynein light intermediate chain binding	931	1041	506	1041	5366.781632
2	GO:0008569	molecular_function	ATP-dependent microtubule motor activity, minus-end-directed	918	1002	526	1002	5165.720649
3	GO:0045503	molecular_function	dynein light chain binding	906	995	526	995	5129.63278
4	GO:0000028	biological_process	ribosomal small subunit assembly	845	1039	429	1039	5356.470813
5	GO:0036064	cellular_component	ciliary basal body	833	939	581	939	4840.92983
6	GO:0043022	molecular_function	ribosome binding	770	876	448	876	4516.13901
7	GO:0005765	cellular_component	lysosomal membrane	756	837	627	837	4315.078027
8	GO:0042254	biological_process	ribosome biogenesis	752	880	422	880	4536.76065
9	GO:0003341	biological_process	cilium movement	747	825	493	825	4253.213109
10	GO:0071013	cellular_component	catalytic step 2 spliceosome	746	924	620	924	4763.598682
11	GO:0051321	biological_process	meiotic cell cycle	719	806	512	806	4155.260322
12	GO:0005769	cellular_component	early endosome	718	778	519	778	4010.908847
13	GO:0005200	molecular_function	structural constituent of cytoskeleton	716	1045	447	1045	5387.403272
14	GO:0006414	biological_process	translational elongation	713	839	397	839	4325.388847
15	GO:0009555	biological_process	pollen development	256	281	157	281	1448.670162
16	GO:0044183	molecular_function	protein folding chaperone	255	308	167	308	1587.866227
17	GO:0031177	molecular_function	phosphopantetheine binding	250	283	181	283	1458.980982
18	GO:0035721	biological_process	intraciliary retrograde transport	249	271	156	271	1397.116064
19	GO:0030165	molecular_function	PDZ domain binding	249	279	184	279	1438.359342
20	GO:0006813	biological_process	potassium ion transport	249	285	205	285	1469.291801
21	GO:0016597	molecular_function	amino acid binding	247	293	195	293	1510.53508
22	GO:0048477	biological_process	oogenesis	247	284	183	284	1464.136392
23	GO:0030507	molecular_function	spectrin binding	247	277	213	277	1428.048523
24	GO:0008519	molecular_function	ammonium transmembrane transporter activity	244	340	207	340	1752.839342
25	GO:0005952	cellular_component	cAMP-dependent protein kinase complex	244	305	211	305	1572.399998
26	GO:0043878	molecular_function	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity	243	307	172	307	1582.710818
27	GO:0061077	biological_process	chaperone-mediated protein folding	242	266	164	266	1371.339015
28	GO:0006487	biological_process	protein N-linked glycosylation	242	266	166	266	1371.339015
29	GO:0005852	cellular_component	eukaryotic translation initiation factor 3 complex	241	264	179	264	1361.028195
30	GO:0015035	molecular_function	protein disulfide oxidoreductase activity	241	273	169	273	1407.426883
31	GO:0031594	cellular_component	neuromuscular junction	240	280	220	280	1443.514752
32	GO:0071007	cellular_component	U2-type catalytic step 2 spliceosome	240	300	199	300	1546.622949
33	GO:0071222	biological_process	cellular response to lipopolysaccharide	236	260	193	260	1340.406556
34	GO:0003714	molecular_function	transcription corepressor activity	235	264	184	264	1361.028195
35	GO:0009044	molecular_function	xylan 1,4-beta-xylosidase activity	235	272	190	272	1402.271474
36	GO:0090263	biological_process	positive regulation of canonical Wnt signaling pathway	234	255	182	255	1314.629506
37	GO:0008138	molecular_function	protein tyrosine/serine/threonine phosphatase activity	232	251	168	251	1294.007867
38	GO:0051787	molecular_function	misfolded protein binding	231	281	149	281	1448.670162
39	GO:0043194	cellular_component	axon initial segment	230	255	202	255	1314.629506
40	GO:0007409	biological_process	axonogenesis	230	253	190	253	1304.318687
41	GO:0019898	cellular_component	extrinsic component of membrane	228	242	134	242	1247.609179
42	GO:0004497	molecular_function	monooxygenase activity	226	299	180	299	1541.467539
43	GO:0008236	molecular_function	serine-type peptidase activity	226	253	174	253	1304.318687
44	GO:0004553	molecular_function	hydrolase activity, hydrolyzing O-glycosyl compounds	225	247	173	247	1273.386228
45	GO:0009522	cellular_component	photosystem I	221	292	107	292	1505.37967
46	GO:0097730	cellular_component	non-motile cilium	218	233	154	233	1201.21049
47	GO:0019228	biological_process	neuronal action potential	212	243	223	243	1252.764589
48	GO:0006811	biological_process	ion transport	210	263	175	263	1355.872785
49	GO:0009765	biological_process	photosynthesis, light harvesting	210	267	114	267	1376.494424
50	GO:0001750	cellular_component	photoreceptor outer segment	206	225	157	225	1159.967212
51	GO:0010737	biological_process	protein kinase A signaling	206	268	198	268	1381.649834
52	GO:0030515	molecular_function	snoRNA binding	206	237	153	237	1221.83213
53	GO:0006103	biological_process	2-oxoglutarate metabolic process	205	236	121	236	1216.67672
54	GO:0019253	biological_process	reductive pentose-phosphate cycle	205	272	130	272	1402.271474
55	GO:0030686	cellular_component	90S preribosome	203	216	106	216	1113.568523
56	GO:0031969	cellular_component	chloroplast membrane	200	219	124	219	1129.034753
57	GO:0004559	molecular_function	alpha-mannosidase activity	198	230	160	230	1185.744261
58	GO:0006303	biological_process	double-strand break repair via nonhomologous end joining	197	206	127	206	1062.014425
59	GO:0005665	cellular_component	RNA polymerase II, core complex	196	233	127	233	1201.21049
60	GO:0005666	cellular_component	RNA polymerase III complex	196	224	129	224	1154.811802
61	GO:0004565	molecular_function	beta-galactosidase activity	193	221	153	221	1139.345572
62	GO:0000981	molecular_function	DNA-binding transcription factor activity, RNA polymerase II-specific	192	208	139	208	1072.325244
63	GO:0009514	cellular_component	glyoxysome	191	257	102	257	1324.940326
64	GO:0045494	biological_process	photoreceptor cell maintenance	190	210	164	210	1082.636064
65	GO:0007156	biological_process	homophilic cell adhesion via plasma membrane adhesion molecules	189	198	143	198	1020.771146
66	GO:0004017	molecular_function	adenylate kinase activity	188	213	122	213	1098.102294
67	GO:0006228	biological_process	UTP biosynthetic process	188	226	127	226	1165.122621
68	GO:0051017	biological_process	actin filament bundle assembly	187	212	112	212	1092.946884
69	GO:0005086	molecular_function	ARF guanyl-nucleotide exchange factor activity	187	199	135	199	1025.926556
70	GO:0030490	biological_process	maturation of SSU-rRNA	187	214	97	214	1103.257703
71	GO:0044458	biological_process	motile cilium assembly	186	199	123	199	1025.926556
72	GO:0016973	biological_process	poly(A)+ mRNA export from nucleus	186	221	132	221	1139.345572
73	GO:0016208	molecular_function	AMP binding	184	232	122	232	1196.05508
74	GO:0009534	cellular_component	chloroplast thylakoid	184	198	98	198	1020.771146
75	GO:0080008	cellular_component	Cul4-RING E3 ubiquitin ligase complex	184	199	109	199	1025.926556
76	GO:0006972	biological_process	hyperosmotic response	184	211	131	211	1087.791474
77	GO:0070628	molecular_function	proteasome binding	182	190	103	190	979.5278676
78	GO:0005912	cellular_component	adherens junction	180	194	136	194	1000.149507
79	GO:0004129	molecular_function	cytochrome-c oxidase activity	180	235	88	235	1211.52131
80	GO:0005736	cellular_component	RNA polymerase I complex	180	193	108	193	994.9940971
